name,book,page
Dwarf,Player's Handbook,18
Elf,Player's Handbook,21
Halfling,Player's Handbook,26
Human,Player's Handbook,29
Dragonborn,Player's Handbook,32
Gnome,Player's Handbook,35
Half-elf,Player's Handbook,38
Half-orc,Player's Handbook,41
Tiefling,Player's Handbook,44
