name,book,page
Artificer,Mordenkainens Almanac of Adventurers,13
Blood Mage,Mordenkainens Almanac of Adventurers,19
DragonKnight,Mordenkainens Almanac of Adventurers,26
Wraith,Mordenkainens Almanac of Adventurers,33
Priest,Mordenkainens Almanac of Adventurers,40
Witch Hunter,Mordenkainens Almanac of Adventurers,46
