name,book,page
Barbarian,Player's Handbook,46
Bard,Player's Handbook,51
Cleric,Player's Handbook,56
Druid,Player's Handbook,64
Fighter,Player's Handbook,70
Monk,Player's Handbook,76
Paladin,Player's Handbook,82
Ranger,Player's Handbook,89
Rogue,Player's Handbook,94
Sorcerer,Player's Handbook,99
Warlock,Player's Handbook,104
Wizard,Player's Handbook,109
